model,downloads,likes,parameters
sentence-transformers/paraphrase-distilroberta-base-v1,124323,6,82118914
Alibaba-NLP/gte-base-en-v1.5,121562,36,136776192
avsolatorio/GIST-small-Embedding-v0,111673,17,33360000
sentence-transformers/msmarco-distilbert-cos-v5,105087,10,66362880
sentence-transformers/nli-distilroberta-base-v2,98605,1,82118914
sentence-transformers/msmarco-MiniLM-L12-cos-v5,89588,9,33360512
sentence-transformers/gtr-t5-xl,86166,15,1240909824
sentence-transformers/all-MiniLM-L12-v1,82554,4,33360512
dangvantuan/vietnamese-embedding,75961,16,134998272
sentence-transformers/sentence-t5-large,73289,17,334939648
sentence-transformers/sentence-t5-base,72069,43,109628544
Qdrant/bge-base-en-v1.5-onnx-Q,71296,0,0
FremyCompany/BioLORD-2023,70860,36,0
aari1995/German_Semantic_V3,65129,7,335211520
colorfulscoop/sbert-base-ja,63115,13,0
sentence-transformers/msmarco-distilbert-dot-v5,62977,11,66362880
sentence-transformers/clip-ViT-B-32-multilingual-v1,62490,122,134734080
embaas/sentence-transformers-e5-large-v2,61106,9,0
sentence-transformers/gtr-t5-base,59739,16,109628544
TaylorAI/bge-micro-v2,58392,32,17389824
embaas/sentence-transformers-multilingual-e5-large,52676,1,0
thenlper/gte-base-zh,51733,31,102268160
Qdrant/bge-small-en-v1.5-onnx-Q,50465,0,0
sentence-transformers/msmarco-MiniLM-L-12-v3,48934,21,33360512
pkshatech/GLuCoSE-base-ja,47788,26,0
dangvantuan/sentence-camembert-base,46445,16,0
Qdrant/all-MiniLM-L6-v2-onnx,46411,3,0
Snowflake/snowflake-arctic-embed-m-long,46154,31,136731648
sentence-transformers/paraphrase-xlm-r-multilingual-v1,45034,60,278044162
bespin-global/klue-sroberta-base-continue-learning-by-mnr,44945,22,110618626
hkunlp/instructor-xl,44661,537,0
dunzhang/stella_en_1.5B_v5,44472,40,0
emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,43344,24,0
pritamdeka/S-PubMedBert-MS-MARCO,43243,25,0
NeuML/pubmedbert-base-embeddings,42782,83,0
Snowflake/snowflake-arctic-embed-l,42755,79,334092288
sentence-transformers/msmarco-MiniLM-L6-cos-v5,41520,8,22713728
sentence-transformers/msmarco-MiniLM-L-6-v3,37068,13,22713728
PM-AI/bi-encoder_msmarco_bert-base_german,36393,10,0
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,34481,18,135589122
sentence-transformers/paraphrase-distilroberta-base-v2,34286,9,82118914
